n_sq_vo,NOM_ENTIER,TYPE,NOM,WKT,id_propre,date_nom,date_fin
750005915,Rue de Cléry,RUE,CLERY,"LINESTRING (2.34396692892011 48.867337739258,2.34406882665316 48.8673671657554,2.34454252859215 48.8674918619885,2.34467977540828 48.8675308917452)",750604349,1634,2020
750005923,Rue des Jeuneurs,RUE,JEUNEURS,"LINESTRING (2.34363999861894 48.8697588714313,2.34290884144762 48.8699021131417,2.34277756966325 48.8699278393457)",750603640,1643,2020
750005925,Péristyle de Joinville,PERISTYLE,JOINVILLE,"LINESTRING (2.33779342877757 48.8663105023731,2.3378549305668 48.8662526784241,2.33777555523738 48.8661073566197)",750604780,1781,2020
750005932,Boulevard Poissonnière,BOULEVARD,POISSONNIERE,"LINESTRING (2.34376445877169 48.8713754490662,2.34306893682108 48.871488883707)",750603110,1676,2020
750005933,Rue Berger,RUE,BERGER,"LINESTRING (2.34229248758788 48.862250786418,2.34159008514798 48.8624022272925)",750606471,1864,2020
750005943,Place Boieldieu,PLACE,BOIELDIEU,"LINESTRING (2.33797316983076 48.8707665784565,2.33788974121863 48.8707354647508,2.33788974143877 48.8707355546861,2.33750886088282 48.8708044429776,2.33744928896172 48.8708152353953)",750603231,1852,2020
750005982,Rue Brongniart,RUE,BRONGNIART,"LINESTRING (2.34283146285011 48.8697494388351,2.34274946587842 48.869732797765,2.34247941329482 48.8696781365094,2.34237872715517 48.8696577366916)",750603559,1844,2020
750005998,Rue Catinat,RUE,CATINAT,"LINESTRING (2.34032189695415 48.865425099999,2.34037805643277 48.8654457814957,2.34071883214719 48.8655746349903,2.34071883237219 48.8655747249261,2.34088417727547 48.865637578004)",750605036,1847,2020
750006009,Rue d'Amboise,RUE,AMBOISE,"LINESTRING (2.33954264112639 48.8709171755431,2.33946684829337 48.8709327439917,2.33821951342292 48.8711891442795,2.33815816786819 48.8712017349164)",750603169,1781,2020
750006010,Rue de l'Amiral de Coligny,RUE,AMIRAL DE COLIGNY,"LINESTRING (2.3406415186898 48.8604920287349,2.34075691575681 48.8606765893549,2.34079343857149 48.8608141409052,2.34080350425228 48.8609154351445)",750607161,1844,2020
750006027,Passage de Beaujolais,PASSAGE,BEAUJOLAIS,"LINESTRING (2.33722857908855 48.8663980971714,2.33739388031061 48.8663626645199,2.33747000846169 48.866364417889,2.33754080724678 48.8663445700311,2.3375837858508 48.8663541107316)",750604669,1812,2020
750006028,Péristyle de Beaujolais,PERISTYLE,BEAUJOLAIS,"LINESTRING (2.33904745766415 48.8660152400398,2.33895197324339 48.8659940106747,2.33887616661878 48.8658454788449)",750604890,1781,2020
750006088,Rue Neuve-Saint-Eustache,RUE,NEUVE SAINT EUSTACHE,"LINESTRING (2.34417521709872 48.8668927012044,2.34427663627043 48.8669243480957,2.34485140739246 48.8671032573663)",750604478,1634,1865
750006484,Rue Taitbout,RUE,TAITBOUT,"LINESTRING (2.3368613341593 48.8714333915884,2.33644795647308 48.8718610343805)",750602977,1773,2020
750006610,Galerie du Théâtre Français,GALERIE,THEATRE FRANCAIS,"LINESTRING (2.33578295740968 48.8634679363217,2.33587562865606 48.8634445198853,2.33583619836531 48.8633794752252,2.33626408821346 48.8632832005768,2.33630943481135 48.8633560599601,2.33643759942131 48.863326131686)",750605999,1781,2020
750006615,Rue Saint-Joseph,RUE,SAINT JOSEPH,"LINESTRING (2.3441744196053 48.8686137419058,2.3435442122296 48.8687840970918,2.34333973937907 48.8687841095388)",750604063,1646,2020
750006618,Passage Potier,PASSAGE,POTIER,"LINESTRING (2.33689446095782 48.865011075863,2.33654132153182 48.8650896012049)",750605209,1821,2020
750006623,Passage des Petits Pères,PASSAGE,PETITS PERES,"LINESTRING (2.34061567003581 48.8664311627913,2.34045309588614 48.8664598104685,2.340249452009 48.8664983059953,2.34017202933642 48.866512957594)",750604624,1777,2020
750006646,Place des Deux Ecus,PLACE,DEUX ECUS,"LINESTRING (2.341641534008 48.8630920766879,2.34149223135456 48.862948163765,2.3416793165748 48.8628068614655)",750619335,1300,2020
750006650,Péristyle de Chartres,PERISTYLE,CHARTRES,"LINESTRING (2.33625822069424 48.8637852474135,2.33663316030475 48.8636995463985)",750605853,1781,2020
750004906,Rue de la Chaussée d'Antin,RUE,ANTIN,"MULTILINESTRING ((2.33415044566646 48.8709700710956,2.3338546017643 48.8716052231676,2.33380426882391 48.8718426306768,2.33338677742864 48.8727673444252,2.33314641890714 48.872960412305,2.33322656620329 48.8731352335331,2.33270842173459 48.8742900663318,2.33257630304839 48.8746013912393,2.33229074984734 48.875260369851,2.33185357424011 48.8762655626916))",750603146,1712,2020
750005478,Rue du Louvre,RUE,LOUVRE,"MULTILINESTRING ((2.34080350425227 48.8609154351593,2.34093057468621 48.8611274433006,2.34120498472481 48.8617087236129,2.34159008514798 48.8624022273073,2.34170418910732 48.8626314475236,2.34191726383423 48.86303790025,2.34213961386371 48.8634719791795,2.34235269577863 48.8638802385101,2.34241063673493 48.8639955679686,2.34266026331781 48.8644884021407,2.34272502127673 48.8646061134118,2.34304799812883 48.8652061905738,2.34309316689699 48.8652907916681,2.34312462252767 48.8653766799823,2.3432840030997 48.8656852114805,2.34333595013726 48.8657869164966,2.3433904865641 48.8658904190857,2.34376038354394 48.8665856263288,2.34384982600496 48.8667549532165,2.34386687503695 48.8668339991647,2.34393930327712 48.867177877069,2.34392649687789 48.8672240196283,2.34392649728167 48.8672257193894,2.34393249793207 48.8672500894116,2.3439669289201 48.8673377392728))",750604516,1859,2020
750005480,Galerie des Variétés,GALERIE,VARIETES,"MULTILINESTRING ((2.34120399403433 48.8709517409795,2.34128333216704 48.8709415752965,2.34142551352115 48.8709234130612,2.3416207236458 48.8708971362134,2.34164280742871 48.8708942574814,2.34166407264684 48.8708912087646,2.34198878529633 48.8708453211207))",750603179,1834,2020
