Geometry X Y;Geometry;N_SQ_AD;N_VOIE;C_SUF1;C_SUF2;C_SUF3;C_AR;A_NVOIE;B_ANGLE;B_OFFSTDF;B_AFFSTDF;B_HORS75;L_NVOIE;L_ADR;N_SQ_AR;N_SQ_VO;OBJECTID
48.866979779, 2.33992847301;"{""type"": ""Point"", ""coordinates"": [2.339928473005314, 48.86697977899171]}";750006316;46;;;;2;251.19000244;N;O;;N;46;46 GAL VIVIENNE;750000002;750005502;40245
48.8623984947, 2.33890333712;"{""type"": ""Point"", ""coordinates"": [2.338903337121358, 48.862398494747694]}";750002528;182;;;;1;337.6499939;O;O;;N;182;182 RUE SAINT-HONORE;750000001;750005584;40303
48.8671355173, 2.33919127074;"{""type"": ""Point"", ""coordinates"": [2.339191270738672, 48.86713551727205]}";750006371;6;;;;2;250.1000061;N;O;;N;6;6 RUE VIVIENNE;750000002;750006607;34292
48.8706054867, 2.33303481953;"{""type"": ""Point"", ""coordinates"": [2.3330348195348423, 48.87060548667437]}";750003658;9;;;;2;194.47999573;N;O;;N;9;9 BD DES CAPUCINES;750000002;750005991;34382
48.8664028797, 2.34309529291;"{""type"": ""Point"", ""coordinates"": [2.3430952929091022, 48.86640287971261]}";750003139;10;;;;2;209.97000122;N;O;;N;10;10 RUE D'ABOUKIR;750000002;750006088;34383
48.8647401204, 2.34110417112;"{""type"": ""Point"", ""coordinates"": [2.3411041711179292, 48.86474012041942]}";750000840;3;;;;1;36.84000015;N;O;;N;3;3 RUE HEROLD;750000001;750005832;34434
48.8686128239, 2.34305119305;"{""type"": ""Point"", ""coordinates"": [2.34305119305037, 48.868612823878365]}";750004428;2;;;;2;7.710000039999999;O;O;;N;2;2 RUE LEON CLADEL;750000002;750005730;34489
48.8663917463, 2.33950166778;"{""type"": ""Point"", ""coordinates"": [2.339501667776972, 48.86639174628784]}";750006245;11;;;;2;69.95999908;N;O;;N;11;11 GAL VIVIENNE;750000002;750005502;34706
48.8679938722, 2.33670236139;"{""type"": ""Point"", ""coordinates"": [2.336702361390766, 48.86799387218254]}";750005434;4;;;;2;341.67999268;N;O;;N;4;4 RUE RAMEAU;750000002;750005594;34999
48.8628707249, 2.34014523275;"{""type"": ""Point"", ""coordinates"": [2.340145232754682, 48.86287072493156]}";750003002;24;;;;1;331.42001343;N;O;;N;24;24 GAL VERO-DODAT;750000001;750005489;35044
