Nom,Métier,Rue,Numéro,X,Y,de,à
Perrottet,café brasserie,Rue Notre Dame des Victoires,20,2.341556064423,48.8674547236555,1871,1875
Perrée fils,café restaurant,Place de Valois,2,2.33796147652071,48.86313853335339,1870,1873
Peter's Fraise,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1864,1864
Peter's-Fraise (Noël success.),café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1870,1870
Picou,café brasserie,Rue Croix des Petits Champs,5,2.3391961152753,48.86262794704129,1886,1888
Pinding (F.),café estaminet,Boulevard des Italiens,11,2.33795998769667,48.8714479414307,1860,1860
Poiseuil,café brasserie,Rue du Mail,6,2.34176970357542,48.866430799772395,1907,1907
Poncet et Meunier,café Français,Rue de Richelieu,108,2.34034369711317,48.871367508421095,1841,1844
Poters,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1863,1863
Poyé,café des Variétés,Boulevard Montmartre,9,2.3420477422575297,48.87148560227801,1876,1878
Quesnel,café,Rue Saint Augustin,29,2.3351824776985,48.8688268452901,1885,1886
Quevinot,café Coquillière,Rue Coquillière,33,2.34124309745105,48.8643167986892,1852,1853
Queyinot,café Coquillière,Rue Coquillière,31,2.34141118008689,48.8642413243104,1854,1854
Queýinot,café Coquillière,Rue Coquillière,31,2.34141118008689,48.8642413243104,1855,1855
Quillier,café brasserie,Rue Coquillière,37,2.34095891573222,48.8644444440559,1875,1875
Quoniam,café Richelieu,Boulevard des Italiens,2,2.33877651070513,48.8719362971076,1845,1849
Rabaud frères et Cie,cafés,Rue Vivienne,45,2.34103712568064,48.8708292747537,1875,1875
Renaud,café de la Grande Poste,Rue Coquillière,31,2.34141118008689,48.8642413243104,1897,1897
Renault et Bontosi,café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1885,1885
Retourné,café des Nations,Rue Saint Honoré,202,2.3377124096398796,48.8627154638834,1855,1858
Reveillon,cafés,Rue Coquillière,35,2.34110802543225,48.8643775056439,1921,1921
Revéchon,cafés,Rue Coquillière,35,2.34110802543225,48.8643775056439,1922,1922
Ribes,café Favart,Rue Favart,12,2.33811985566648,48.870912079255,1897,1901
Rigault (Mme),café Mazarin,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1856,1857
Rivière (H.),café du Vaudeville,Rue Vivienne,29,2.34016715898938,48.8692325453552,1897,1897
Roland,café restaurant,Rue de la Banque,1,2.3399334324323298,48.8662622924574,1851,1851
Rousseau,cafés,Rue de la Michodière,4,2.33461788028133,48.8692371321947,1878,1888
Rousseau (I.),café brasserie,Rue d'Aboukir,8,2.34290460199946,48.8663320816037,1875,1875
Rousseau (J.),café brasserie,Rue d'Aboukir,8,2.34290460199946,48.8663320816037,1876,1876
